FILE: evap-pan.xls Updated: 7/24/2012 by John P. Anderson
File header updated by Ken Ramsey on 02/11/2013.

Data entered & verified in KeyesPunch dataentry software beginning with date 5/8/12. 
Data appended to this file from KeyesPunch data output file

Variable description:
interval_days = number of days between readings (date_read minus begin_period)
date_start = beginning date on which evaporation calculation is based
date_read = date of measurement
time = military time of measurement
curT = current water temperature (F)
minT = minimum water temperature since last reading (F)
maxT = maximum water temperature since last reading (F)
i_water = initial water level (inches)
f_water = final water level after evaporation (inches)
rain = rainfall since last measurement (inches)
init = initials of field reader
evap = evaporation since last good measurement (begin_period to date_read) (inches)
qflag = quality flag (C=good data. Comment present; G=good data; E=esimated water level; H=water level too high to measure; I=ice in pan; L=water level too low to measure; Q=questionable water level; R=missing rain data; T=missing min or max temperature; W=missing water level
comment = comment

interval_days,date_start,date_read,time,curT,minT,maxT,i_water,f_water,rain,init,evap,qflag,comment
7,08/26/1993,09/02/1993,.,82,59,91,4.542,3.471,0.54,.,1.611,G,
7,09/02/1993,09/09/1993,.,62,57,92,4.544,2.250,0.00,.,2.294,G,
7,09/09/1993,09/16/1993,.,79,49,89,4.129,2.016,0.01,.,2.123,G,
6,09/16/1993,09/22/1993,.,68,47,88,4.003,1.920,0.00,.,2.083,G,
7,09/22/1993,09/29/1993,.,88,48,89,4.526,2.698,0.21,.,2.038,G,
8,09/29/1993,10/07/1993,.,62,48,88,4.572,2.427,0.18,.,2.325,G,
6,10/07/1993,10/13/1993,.,75,49,84,4.470,2.956,0.00,.,1.514,G,
7,10/13/1993,10/20/1993,.,61,41,73,4.278,3.294,0.29,.,1.274,G,
8,10/20/1993,10/28/1993,.,52,37,70,4.502,3.354,0.04,.,1.188,G,
7,10/28/1993,11/04/1993,.,56,34,63,4.098,3.321,0.16,.,0.937,G,
7,11/04/1993,11/11/1993,.,60,34,66,4.647,3.305,0.00,.,1.342,G,
7,11/11/1993,11/18/1993,.,42,36,62,4.316,4.123,0.40,.,0.593,G,
8,11/18/1993,11/26/1993,.,42,31,64,4.123,2.926,0.00,.,.,I,"1/4"" ice on part of pan"
14,11/18/1993,12/02/1993,.,49,31,62,4.362,3.789,0.00,.,0.334,G,
8,12/02/1993,12/10/1993,.,53,31,59,4.324,3.304,0.00,.,1.020,G,
7,12/10/1993,12/17/1993,.,42,32,58,4.286,3.494,0.04,.,0.832,G,
7,12/17/1993,12/24/1993,.,42,31,52,3.494,3.288,0.26,.,0.466,G,
6,12/24/1993,12/30/1993,.,49,31,57,3.288,3.496,0.45,.,0.242,G,
8,12/30/1993,01/07/1994,.,42,31,58,3.496,2.410,0.00,.,1.086,G,
7,01/07/1994,01/14/1994,.,39,31,55,3.770,3.180,0.00,.,0.590,G,
6,01/14/1994,01/20/1994,.,56,32,59,4.142,3.538,0.00,.,0.604,G,
7,01/20/1994,01/27/1994,.,37,31,62,3.538,2.644,0.00,.,0.894,G,
7,01/27/1994,02/03/1994,.,43,31,53,4.100,.,0.32,.,.,I,"1/2"" ice chunks @ 1300"
14,01/27/1994,02/10/1994,1204 ,46,32,61,4.100,3.392,0.19,.,0.898,G,
6,02/10/1994,02/16/1994,1400 ,63,32,65,4.229,3.267,0.00,.,0.962,G,
8,02/16/1994,02/24/1994,1230 ,58,32,67,4.011,2.598,0.00,.,1.413,G,
7,02/24/1994,03/03/1994,1414 ,53,36,72,4.299,2.960,0.00,.,1.339,G,
7,03/03/1994,03/10/1994,1400 ,67,32,72,4.098,2.782,0.04,.,1.356,G,
6,03/10/1994,03/16/1994,1553 ,63,42,80,3.403,2.508,0.11,.,1.005,G,
8,03/16/1994,03/24/1994,1345 ,65,40,78,4.409,3.085,0.00,.,1.324,G,
6,03/24/1994,03/30/1994,1345 ,65,32,73,4.197,2.700,0.00,.,1.497,G,
7,03/30/1994,04/06/1994,1030 ,60,33,81,3.221,0.811,0.00,.,2.410,C,read midmorning
9,04/06/1994,04/15/1994,1410 ,77,42,87,4.166,1.193,0.00,.,2.973,G,
7,04/15/1994,04/22/1994,1100 ,74,43,86,4.158,2.080,0.00,.,2.078,G,
13,04/22/1994,05/05/1994,930 ,65,35,92,3.820,.,0.00,.,.,L,2 low 2 read.
7,05/05/1994,05/12/1994,.,78,38,102,2.220,.,0.00,.,.,L,"~0.3"";2low2read accurate."
6,05/12/1994,05/18/1994,1030 ,71,39,87,4.242,2.018,0.00,.,2.224,G,
8,05/18/1994,05/26/1994,615 ,51,51,90,4.244,2.048,0.74,.,2.936,G,
7,05/26/1994,06/02/1994,900 ,65,50,94,4.328,1.747,0.19,.,2.771,G,
4,06/02/1994,06/06/1994,1000 ,73,52,92,4.210,2.814,0.41,.,1.806,G,
3,06/06/1994,06/09/1994,1130 ,66,57,92,4.232,2.420,0.00,.,1.812,G,
6,06/09/1994,06/15/1994,1145 ,65,58,98,4.215,0.868,0.00,.,3.347,G,
8,06/15/1994,06/23/1994,630 ,64,58,94,4.090,0.650,0.00,.,3.440,G,
4,06/23/1994,06/27/1994,1411 ,75,60,100,4.459,2.014,0.00,.,2.445,G,
2,06/27/1994,06/29/1994,800 ,62,61,98,4.178,3.395,0.02,.,0.803,G,
3,06/29/1994,07/02/1994,800 ,67,58,98,4.559,2.748,0.00,.,1.811,G,
5,07/02/1994,07/07/1994,850 ,56,53,96,4.468,1.347,0.00,.,3.121,G,
7,07/07/1994,07/14/1994,1100 ,70,56,100,4.496,1.087,0.10,.,3.509,G,
6,07/14/1994,07/20/1994,845 ,68,61,99,4.227,1.632,0.00,.,2.595,G,
8,07/20/1994,07/28/1994,1045 ,80,62,101,4.545,1.809,0.48,.,3.216,G,
6,07/28/1994,08/03/1994,.,67,67,100,4.555,3.628,0.74,.,1.667,G,
8,08/03/1994,08/11/1994,945 ,69,61,101,4.597,1.155,0.00,.,3.442,G,
7,08/11/1994,08/18/1994,700 ,63,63,99,4.385,1.966,0.00,.,2.419,G,
6,08/18/1994,08/24/1994,955 ,74,61,95,4.508,2.156,0.00,.,2.352,G,
9,08/24/1994,09/02/1994,1030 ,77,61,96,4.598,2.022,0.36,.,2.936,G,
5,09/02/1994,09/07/1994,1000 ,68,60,92,4.499,3.308,0.10,.,1.291,G,
7,09/07/1994,09/14/1994,1400 ,82,60,91,4.506,2.568,0.10,.,2.038,G,
9,09/14/1994,09/23/1994,1000 ,60,48,88,4.559,1.776,0.00,.,2.783,G,
5,09/23/1994,09/28/1994,1200 ,72,49,85,4.245,2.614,0.00,.,1.631,G,
7,09/28/1994,10/05/1994,1135 ,73,51,83,5.112,2.748,0.00,.,2.364,G,
8,10/05/1994,10/13/1994,1300 ,70,39,80,4.100,1.825,0.00,.,2.275,G,
8,10/13/1994,10/21/1994,1000 ,49,42,88,4.354,3.595,0.00,.,0.759,G,
7,10/21/1994,10/28/1994,1000 ,50,44,75,4.308,2.948,0.00,.,1.360,G,
7,10/28/1994,11/04/1994,1230 ,51,39,74,4.393,2.814,0.04,.,1.619,G,
5,11/04/1994,11/09/1994,1500 ,64,37,67,4.168,3.445,0.06,.,0.783,G,
8,11/09/1994,11/17/1994,1020 ,49,36,64,3.445,3.579,0.96,.,0.826,G,
6,11/17/1994,11/23/1994,.,54,32,61,3.579,2.792,0.03,.,0.817,G,
8,11/23/1994,12/01/1994,1200 ,44,31,63,4.343,3.316,0.00,.,1.027,G,
6,12/01/1994,12/07/1994,1200 ,52,34,64,3.316,3.676,0.81,.,0.450,G,
8,12/07/1994,12/15/1994,1300 ,49,31,63,3.676,3.278,0.14,.,0.538,G,
6,12/15/1994,12/21/1994,.,54,35,58,3.278,2.693,0.00,.,0.585,G,
8,12/21/1994,12/29/1994,1300 ,57,35,58,2.693,2.501,0.32,.,0.512,G,
8,12/29/1994,01/06/1995,1300 ,52,32,56,3.980,4.374,0.88,.,0.486,G,
7,01/06/1995,01/13/1995,1300 ,43,36,58,4.374,3.732,0.00,.,0.642,G,
7,01/13/1995,01/20/1995,1300 ,54,31,59,3.732,2.991,0.00,.,0.741,G,
6,01/20/1995,01/26/1995,1500 ,52,31,56,3.867,3.622,0.34,.,0.585,G,
7,01/26/1995,02/02/1995,1600 ,61,31,64,3.622,2.855,0.00,.,0.767,G,
7,02/02/1995,02/09/1995,1400 ,61,36,65,4.174,3.150,0.00,.,1.024,C,no key to refill
1,02/09/1995,02/10/1995,1400 ,51,44,64,3.150,2.882,0.00,.,0.268,G,
7,02/10/1995,02/17/1995,.,47,36,59,3.824,3.610,0.46,.,0.674,G,
6,02/17/1995,02/23/1995,1430 ,62,36,71,4.455,3.529,0.00,.,0.926,G,
7,02/23/1995,03/02/1995,1330 ,64,40,70,3.529,2.508,0.00,.,1.021,G,
7,03/02/1995,03/09/1995,.,63,33,68,3.987,2.592,0.03,.,1.425,G,
7,03/09/1995,03/16/1995,.,70,38,75,3.941,2.401,0.00,.,1.540,G,
7,03/16/1995,03/23/1995,1500 ,63,41,78,3.913,1.846,0.00,.,2.067,G,
8,03/23/1995,03/31/1995,.,71,35,75,3.995,2.001,0.00,.,1.994,G,
7,03/31/1995,04/07/1995,1300 ,71,40,80,3.931,2.141,0.00,.,1.790,G,
5,04/07/1995,04/12/1995,1300 ,68,35,76,3.558,1.755,0.00,.,1.803,G,
7,04/12/1995,04/19/1995,1400 ,60,34,78,4.412,1.695,0.00,.,2.717,G,
8,04/19/1995,04/27/1995,1330 ,75,35,86,3.126,1.187,0.00,.,1.939,G,
6,04/27/1995,05/03/1995,1130 ,66,45,85,5.018,1.193,0.00,.,3.825,G,
6,05/03/1995,05/09/1995,1200 ,78,36,80,4.888,2.105,0.00,.,2.783,G,
4,05/09/1995,05/13/1995,900 ,62,48,82,4.825,2.759,0.00,.,2.066,G,
3,05/13/1995,05/16/1995,1300 ,76,55,88,4.162,2.626,0.00,.,1.536,G,
2,05/16/1995,05/18/1995,1300 ,74,45,80,4.340,3.422,0.00,.,0.918,G,
4,05/18/1995,05/22/1995,1300 ,75,34,89,4.493,2.532,0.00,.,1.961,C,Pan cleaned.
4,05/22/1995,05/26/1995,1300 ,74,51,83,4.534,2.361,0.00,.,2.173,G,
3,05/26/1995,05/29/1995,830 ,57,48,82,4.361,3.262,0.00,.,1.099,G,
4,05/29/1995,06/02/1995,1200 ,74,51,91,4.640,2.581,0.00,.,2.059,G,
4,06/02/1995,06/06/1995,1030 ,69,52,92,4.383,2.194,0.00,.,2.189,G,
3,06/06/1995,06/09/1995,1130 ,63,50,86,4.544,2.648,0.00,.,1.896,G,
4,06/09/1995,06/13/1995,1200 ,83,54,95,4.412,2.531,0.00,.,1.881,G,
2,06/13/1995,06/15/1995,1200 ,82,59,85,4.537,3.381,0.00,.,1.156,G,
5,06/15/1995,06/20/1995,1100 ,79,58,96,4.172,1.620,0.00,.,2.552,G,
3,06/20/1995,06/23/1995,1200 ,80,56,94,4.390,2.661,0.00,.,1.729,G,
3,06/23/1995,06/26/1995,1200 ,79,64,92,4.560,2.999,0.01,.,1.571,G,
3,06/26/1995,06/29/1995,1120 ,78,59,91,4.736,3.399,0.00,.,1.337,G,
8,06/29/1995,07/07/1995,1200 ,84,53,94,4.739,2.144,0.78,.,3.375,G,
4,07/07/1995,07/11/1995,930 ,75,58,92,4.670,1.912,0.00,.,2.758,G,
3,07/11/1995,07/14/1995,930 ,68,59,92,4.932,3.270,0.00,.,1.662,C,Trace rainfall
7,07/14/1995,07/21/1995,.,80,63,92,4.775,3.225,0.00,.,1.550,G,
7,07/21/1995,07/28/1995,1130 ,82,60,97,4.810,3.185,0.00,.,1.625,G,
4,07/28/1995,08/01/1995,1100 ,78,60,96,4.688,2.716,0.00,.,1.972,G,
3,08/01/1995,08/04/1995,930 ,71,63,95,4.688,3.291,0.00,.,1.397,G,
4,08/04/1995,08/08/1995,930 ,75,64,96,4.788,3.129,0.12,.,1.779,G,
3,08/08/1995,08/11/1995,.,88,65,97,4.677,3.177,0.00,.,1.500,G,
4,08/11/1995,08/15/1995,1200 ,72,63,98,4.205,3.278,0.31,.,1.237,G,
3,08/15/1995,08/18/1995,1100 ,71,65,90,4.850,4.449,0.22,.,0.621,G,
3,08/18/1995,08/21/1995,1230 ,86,63,92,4.615,3.489,0.00,.,1.126,G,
3,08/21/1995,08/24/1995,1030 ,70,62,89,4.774,4.059,0.13,.,0.845,G,
4,08/24/1995,08/28/1995,1000 ,71,63,93,4.917,3.674,0.00,.,1.243,G,
4,08/28/1995,09/01/1995,900 ,65,63,93,4.764,3.372,0.00,.,1.392,G,
6,09/01/1995,09/07/1995,930 ,68,58,92,4.775,2.269,0.00,.,2.506,G,
4,09/07/1995,09/11/1995,1530 ,86,60,92,4.459,4.497,1.50,.,1.462,G,
5,09/11/1995,09/16/1995,1145 ,71,59,88,4.497,4.445,0.98,.,1.032,C,Added no water.
4,09/16/1995,09/20/1995,.,80,59,88,4.445,3.656,0.00,.,0.789,G,
7,09/20/1995,09/27/1995,1345 ,84,48,86,4.623,2.591,0.00,.,2.032,G,
15,09/27/1995,10/12/1995,1230 ,69,42,79,4.740,2.733,0.00,.,2.007,G,
7,10/12/1995,10/19/1995,930 ,48,42,79,3.940,2.257,0.00,.,1.683,C,Pan emptied & cleaned.
1,10/19/1995,10/20/1995,1500 ,.,.,.,4.504,.,0.00,.,.,M,Pan refilled.
7,10/20/1995,10/27/1995,1000 ,50,39,72,4.504,2.641,0.00,.,1.863,G,
7,10/27/1995,11/03/1995,1100 ,53,40,73,4.272,2.745,0.00,.,1.527,G,
7,11/03/1995,11/10/1995,.,64,38,68,4.336,3.316,0.00,.,1.020,G,
7,11/10/1995,11/17/1995,.,50,37,67,3.316,2.019,0.00,.,1.297,G,
5,11/17/1995,11/22/1995,.,49,38,63,4.387,3.706,0.00,.,0.681,G,
8,11/22/1995,11/30/1995,1600 ,61,32,63,3.706,2.261,0.00,.,1.445,G,
6,11/30/1995,12/06/1995,1115 ,56,37,60,4.068,3.059,0.00,.,1.009,G,
9,12/06/1995,12/15/1995,1245 ,51,35,60,4.643,3.336,0.09,.,1.397,G,
11,12/15/1995,12/26/1995,1130 ,41,31,56,4.634,4.248,0.07,.,0.456,G,
10,12/26/1995,01/05/1996,945 ,40,31,68,4.248,3.666,0.15,.,0.732,C,Precip is from LTER Weather Station TBRG.
6,01/05/1996,01/11/1996,1120 ,45,32,56,4.126,3.518,0.00,.,0.608,G,
8,01/11/1996,01/19/1996,1400 ,54,32,56,3.518,2.163,0.00,.,1.355,G,
6,01/19/1996,01/25/1996,1400 ,56,31,56,2.163,1.237,0.00,.,0.926,G,
8,01/25/1996,02/02/1996,1030 ,47,31,63,4.001,2.366,0.01,.,1.645,G,
5,02/02/1996,02/07/1996,.,42,32,62,2.366,1.832,0.00,.,0.534,G,
2,02/07/1996,02/09/1996,1600 ,.,.,.,1.832,1.503,0.00,.,0.329,T,
7,02/09/1996,02/16/1996,.,58,37,68,4.616,2.771,0.00,.,1.845,G,
7,02/16/1996,02/23/1996,1600 ,58,38,69,3.841,2.208,0.00,.,1.633,G,
7,02/23/1996,03/01/1996,1400 ,59,34,62,4.162,2.691,0.00,.,1.471,G,
6,03/01/1996,03/07/1996,.,57,35,65,4.262,2.736,0.00,.,1.526,G,
7,03/07/1996,03/14/1996,1500 ,64,32,72,3.848,1.661,0.00,.,2.187,G,
8,03/14/1996,03/22/1996,1500 ,70,36,74,3.784,1.609,0.00,.,2.175,G,
7,03/22/1996,03/29/1996,1530 ,65,36,74,4.315,1.707,0.00,.,2.608,G,
17,03/29/1996,04/15/1996,1030 ,53,37,84,4.069,1.149,0.40,.,3.320,G,
4,04/15/1996,04/19/1996,1645 ,74,42,78,4.509,2.548,0.00,.,1.961,G,
7,04/19/1996,04/26/1996,930 ,60,41,60,4.426,1.141,0.00,.,3.285,G,
19,04/26/1996,05/15/1996,.,.,.,.,4.479,.,0.00,JPA,.,C,pan refilled after cleaning
9,05/15/1996,05/24/1996,1000 ,73,30,96,.,.,0.00,CIS,.,L,Too low to measure.
4,05/24/1996,05/28/1996,1600 ,76,46,83,4.348,2.051,0.00,NGS,2.297,G,
2,05/28/1996,05/30/1996,1300 ,78,52,86,3.359,2.461,0.00,NGS,0.898,G,
4,05/30/1996,06/03/1996,1300 ,88,50,90,4.351,2.221,0.00,NGS,2.130,G,
4,06/03/1996,06/07/1996,900 ,70,58,92,4.256,2.131,0.00,NGS,2.125,G,
4,06/07/1996,06/11/1996,1030 ,79,59,92,4.593,2.538,0.01,NGS,2.065,G,
3,06/11/1996,06/14/1996,900 ,66,62,92,4.643,3.340,0.03,NGS,1.333,G,
7,06/14/1996,06/21/1996,900 ,66,59,96,4.727,1.735,0.29,CIS,3.282,G,"water level was 2.314"" on 20th at about 0830."
4,06/21/1996,06/25/1996,800 ,61,60,95,4.314,2.088,0.00,NGS,2.226,C,Couldn't refill.
1,06/25/1996,06/26/1996,900 ,67,59,94,2.088,1.618,0.00,CIS,0.470,G,
9,06/26/1996,07/05/1996,1100 ,84,64,94,4.754,3.358,1.71,NGS,3.106,G,
4,07/05/1996,07/09/1996,1100 ,84,52,98,4.489,2.642,0.06,CIS,1.907,G,
3,07/09/1996,07/12/1996,900 ,74,65,95,4.576,3.816,0.27,NGS,1.030,G,
7,07/12/1996,07/19/1996,700 ,75,51,85,4.368,2.856,0.65,CIS,2.162,C,"On 7/15 dipstick=0.62""."
4,07/19/1996,07/23/1996,800 ,67,63,95,4.210,2.670,0.15,CIS,1.690,G,
3,07/23/1996,07/26/1996,1000 ,75,49,95,4.301,3.141,0.14,CIS,1.300,G,
7,07/26/1996,08/02/1996,1015 ,68,64,95,4.918,4.783,1.27,NGS,1.405,C,No water added.
4,08/02/1996,08/06/1996,900 ,65,61,93,4.783,3.347,0.00,CMM,1.436,G,
3,08/06/1996,08/09/1996,1000 ,71,62,90,4.666,3.668,0.00,CMM,0.998,G,
4,08/09/1996,08/13/1996,1000 ,67,60,93,4.582,3.598,0.13,CMM,1.114,G,
6,08/13/1996,08/19/1996,900 ,68,60,91,4.812,3.889,0.37,CIS,1.293,C,Rain from TBRG
3,08/19/1996,08/22/1996,1100 ,77,61,93,4.636,4.177,0.55,JPA,1.009,G,
4,08/22/1996,08/26/1996,1200 ,70,59,89,4.177,3.048,0.01,JPA,1.139,G,
3,08/26/1996,08/29/1996,1030 ,72,63,87,4.670,4.589,0.49,CMM,0.571,G,
7,08/29/1996,09/05/1996,1030 ,78,60,92,4.589,2.532,0.00,CIS,2.057,G,
8,09/05/1996,09/13/1996,1030 ,68,58,90,4.567,4.446,1.95,CMM,2.071,G,
6,09/13/1996,09/19/1996,930 ,58,53,83,4.446,4.100,1.17,CMM,1.516,G,
7,09/19/1996,09/26/1996,1600 ,72,53,84,4.914,3.222,0.13,CMM,1.822,G,
7,09/26/1996,10/03/1996,1600 ,78,45,84,4.713,2.885,0.00,CMM,1.828,G,
8,10/03/1996,10/11/1996,1100 ,58,45,84,4.839,3.184,0.06,CMM,1.715,G,
7,10/11/1996,10/18/1996,1400 ,71,45,84,4.886,2.937,0.00,CMM,1.949,G,
5,10/18/1996,10/23/1996,1730 ,61,32,73,4.839,3.621,0.00,CMM,1.218,G,
9,10/23/1996,11/01/1996,1700 ,60,36,66,4.899,4.121,0.00,CMM,0.778,G,
6,11/01/1996,11/07/1996,1200 ,51,37,63,5.026,3.976,0.00,CMM,1.050,G,
7,11/07/1996,11/14/1996,1600 ,61,37,64,4.948,3.739,0.00,CMM,1.209,G,
8,11/14/1996,11/22/1996,1600 ,52,36,66,4.850,3.504,0.00,CMM,1.346,G,
5,11/22/1996,11/27/1996,1100 ,41,34,63,4.930,3.956,0.00,CMM,0.974,G,
8,11/27/1996,12/05/1996,1200 ,43,31,53,5.048,4.384,0.08,CMM,0.744,G,
8,12/05/1996,12/13/1996,1030 ,42,37,62,5.120,3.743,0.00,CMM,1.377,G,
4,12/13/1996,12/17/1996,.,.,.,.,4.960,.,.,CMM,.,I,Pan frozen.
15,12/13/1996,12/28/1996,1200 ,43,31,60,4.960,2.996,0.00,CMM,1.964,C,Unable to refill.
6,12/28/1996,01/03/1997,930 ,43,34,63,2.996,2.226,0.00,CMM,0.770,G,
7,01/03/1997,01/10/1997,.,.,.,.,4.544,.,.,CMM,.,I,Pan frozen. DSRG leaking; not read.
21,01/03/1997,01/24/1997,1400,55,31,63,4.544,3.537,0.00,CMM,1.007,G,
7,01/24/1997,01/31/1997,1300,55,31,64,4.865,4.004,0.00,CMM,0.861,G,
7,01/31/1997,02/07/1997,1400,54,31,61,4.421,3.135,0.00,CMM,1.286,G,
7,02/07/1997,02/14/1997,1200,51,32,60,4.706,3.861,0.09,CMM,0.935,G,
5,02/14/1997,02/19/1997,1200,56,31,62,4.408,4.259,0.37,SMG,0.519,G,
9,02/19/1997,02/28/1997,1200,43,32,62,4.769,3.644,0.25,SMG,1.375,G,
5,02/28/1997,03/05/1997,1200,64,34,75,4.469,3.394,0.15,SMG,1.225,G,
8,03/05/1997,03/13/1997,1500,75,35,75,4.636,2.644,0.00,CMM,1.992,G,
7,03/13/1997,03/20/1997,1100,62,38,76,4.734,2.534,0.00,SMG,2.200,G,
6,03/20/1997,03/26/1997,1100,49,36,78,3.914,2.171,0.14,CMM,1.883,G,
6,03/26/1997,04/01/1997,1300,59,42,75,4.472,3.109,0.20,CMM,1.563,G,
2,04/01/1997,04/03/1997,1500,66,44,72,4.544,3.664,0.00,CMM,0.880,G,
4,04/03/1997,04/07/1997,1300,55,42,73,5.014,4.048,0.24,SMG,1.206,G,
4,04/07/1997,04/11/1997,1300,51,37,75,5.022,3.484,0.01,CMM,1.548,G,
7,04/11/1997,04/18/1997,1500,77,37,78,4.863,2.925,0.00,CMM,1.938,G,
4,04/18/1997,04/22/1997,1600,82,47,82,4.502,2.906,0.00,CMM,1.596,G,
3,04/22/1997,04/25/1997,1000,47,39,78,4.499,3.700,0.00,CMM,0.799,G,
5,04/25/1997,04/30/1997,900,54,37,78,4.822,3.120,0.01,SMG,1.712,G,
2,04/30/1997,05/02/1997,1200,72,47,79,4.432,3.230,0.00,SMG,1.202,G,
4,05/02/1997,05/06/1997,1530,85,46,89,4.812,2.934,0.00,CMM,1.878,G,
3,05/06/1997,05/09/1997,1200,65,53,83,4.717,3.422,0.00,CMM,1.295,G,
6,05/09/1997,05/15/1997,1000,71,52,90,4.865,2.949,0.55,CMM,2.466,G,
5,05/15/1997,05/20/1997,1000,63,55,90,4.430,3.713,0.59,CMM,1.307,G,
3,05/20/1997,05/23/1997,1100,56,53,83,4.656,3.810,0.01,SMG,0.856,G,
4,05/23/1997,05/27/1997,1200,74,47,87,4.952,2.833,0.00,SMG,2.119,G,
3,05/27/1997,05/30/1997,1300,88,53,91,4.498,3.076,0.00,SMG,1.422,G,
3,05/30/1997,06/02/1997,1400,90,56,94,4.486,2.982,0.01,CMM,1.514,G,
4,06/02/1997,06/06/1997,1200,67,64,91,4.860,2.739,0.00,SMG,2.121,G,
7,06/06/1997,06/13/1997,1000,87,55,91,4.716,2.636,1.00,SMG,3.080,G,
3,06/13/1997,06/16/1997,1200,80,56,87,4.352,3.612,0.25,SMG,0.990,G,
3,06/16/1997,06/19/1997,1200,84,63,91,4.432,3.460,0.00,SMG,0.972,G,
5,06/19/1997,06/24/1997,1200,82,53,92,4.528,1.572,0.00,SMG,2.956,G,
3,06/24/1997,06/27/1997,1200,66,55,92,4.056,2.958,0.07,SMG,1.168,G,
4,06/27/1997,07/01/1997,920,68,61,93,4.287,2.329,0.00,SMG,1.958,G,
2,07/01/1997,07/03/1997,1300,90,60,95,4.586,3.301,0.00,CMM,1.285,G,
5,07/03/1997,07/08/1997,1200,72,59,94,4.940,2.560,0.15,CMM,2.530,G,
3,07/08/1997,07/11/1997,900,59,57,91,4.860,3.566,0.00,CMM,1.294,G,
4,07/11/1997,07/15/1997,1400,90,60,95,5.061,2.876,0.00,CMM,2.185,G,
3,07/15/1997,07/18/1997,1000,70,63,92,4.756,3.347,0.00,CMM,1.409,G,
4,07/18/1997,07/22/1997,800,66,63,94,4.934,3.599,0.25,SMG,1.585,G,
3,07/22/1997,07/25/1997,1100,75,61,94,4.528,3.692,0.31,CMM,1.146,G,
7,07/25/1997,08/01/1997,1400,85,64,93,5.011,4.892,2.00,CMM,2.119,G,
4,08/01/1997,08/05/1997,1200,78,63,92,4.892,3.433,0.00,SMG,1.459,G,
2,08/05/1997,08/07/1997,1200,82,63,90,4.654,4.130,0.04,SMG,0.564,G,
12,08/07/1997,08/19/1997,1200,86,63,93,4.177,3.475,0.00,CMM,0.702,G,
2,08/19/1997,08/21/1997,1500,95,66,95,4.693,3.926,0.00,CMM,0.767,G,
5,08/21/1997,08/26/1997,1330,87,60,94,5.112,3.564,0.00,CMM,1.548,G,
2,08/26/1997,08/28/1997,1200,76,60,92,4.631,3.922,0.00,SMG,0.709,G,
6,08/28/1997,09/03/1997,1100,70,59,92,4.479,2.488,0.00,SMG,1.991,G,
2,09/03/1997,09/05/1997,1100,75,62,92,4.066,2.950,0.00,SMM,1.116,G,
4,09/05/1997,09/09/1997,1430,89,60,90,4.613,3.196,0.00,SMG,1.417,G,
3,09/09/1997,09/12/1997,1030,68,64,91,4.284,3.341,0.00,SMG,0.943,G,
3,09/12/1997,09/15/1997,1400,91,62,92,4.254,3.424,0.19,SMG,1.020,G,
4,09/15/1997,09/19/1997,900,66,62,91,4.277,3.561,0.00,SMG,0.716,G,
7,09/19/1997,09/26/1997,1200,86,55,90,4.209,3.094,0.64,SMG,1.755,G,
6,09/26/1997,10/02/1997,1500,85,55,89,4.090,2.414,0.05,SMG,1.726,G,
8,10/02/1997,10/10/1997,1200,74,48,84,4.086,2.149,0.05,CMM,1.987,G,
6,10/10/1997,10/16/1997,1000,47,35,82,4.598,3.027,0.00,SMG,1.571,G,
7,10/16/1997,10/23/1997,1000,48,35,82,4.300,3.038,0.22,SMG,1.482,G,
8,10/23/1997,10/31/1997,1200,59,34,69,4.176,2.993,0.28,CMM,1.463,G,
6,10/31/1997,11/06/1997,1030,48,37,69,4.680,3.425,0.00,SMG,1.255,G,
7,11/06/1997,11/13/1997,1300,58,35,69,4.568,4.422,0.72,SMG,0.866,G,
8,11/13/1997,11/21/1997,1130,48,33,60,4.422,3.397,0.00,SMG,1.025,G,
5,11/21/1997,11/26/1997,1000,48,32,60,4.544,3.964,0.00,CMM,0.580,G,
8,11/26/1997,12/04/1997,1400,47,30,59,4.803,4.134,0.09,SMG,0.759,G,
7,12/04/1997,12/11/1997,1500,.,.,.,4.134,.,0.35,SMG,.,I,layer of ice on evap pan
14,12/04/1997,12/18/1997,1200,54,30,54,4.134,3.264,0.00,CMM,0.870,G,
10,12/18/1997,12/28/1997,1500,.,.,.,4.536,.,.,CMM,.,I,ice in evap pan
18,12/18/1997,01/05/1998,1615,53,30,60,4.536,5.036,0.07,SMG,.,H,
3,01/05/1998,01/08/1998,1530,.,.,.,5.036,.,0.00,SMG,.,I,
10,01/05/1998,01/15/1998,1420,46,30,58,5.036,3.974,0.00,SMG,1.062,G,
7,01/15/1998,01/22/1998,1200,45,31,59,3.974,3.122,0.01,CMM,0.862,G,
7,01/22/1998,01/29/1998,1330,49,33,58,4.436,3.592,0.00,CMM,0.844,G,
8,01/29/1998,02/06/1998,1530,58,60,32,4.969,3.780,0.05,CMM,1.239,G,
7,02/06/1998,02/13/1998,1330,52,60,31,4.496,3.865,0.27,SMG,0.901,G,
7,02/13/1998,02/20/1998,1300,53,58,31,4.776,4.036,0.19,CMM,0.930,G,
6,02/20/1998,02/26/1998,1400,50,66,31,4.861,3.576,0.00,CMM,1.285,G,
8,02/26/1998,03/06/1998,1000,54,67,29,4.578,2.783,0.00,CMM,1.795,G,
7,03/06/1998,03/13/1998,1100,52,67,31,4.440,3.086,0.00,SMG,1.354,G,
