FILE: evap-pan.xls Updated: 7/24/2012 by John P. Anderson
File header updated by Ken Ramsey on 02/11/2013.

Data entered & verified in KeyesPunch dataentry software beginning with date 5/8/12. 
Data appended to this file from KeyesPunch data output file

Variable description:
interval_days = number of days between readings (date_read minus begin_period)
date_start = beginning date on which evaporation calculation is based
date_read = date of measurement
time = military time of measurement
curT = current water temperature (F)
minT = minimum water temperature since last reading (F)
maxT = maximum water temperature since last reading (F)
i_water = initial water level (inches)
f_water = final water level after evaporation (inches)
rain = rainfall since last measurement (inches)
init = initials of field reader
evap = evaporation since last good measurement (begin_period to date_read) (inches)
qflag = quality flag (C=good data. Comment present; G=good data; E=esimated water level; H=water level too high to measure; I=ice in pan; L=water level too low to measure; Q=questionable water level; R=missing rain data; T=missing min or max temperature; W=missing water level
comment = comment

interval_days,date_start,date_read,time,curT,minT,maxT,i_water,f_water,rain,init,evap,qflag,comment
7,04/22/1985,04/29/1985,.,87,41,92,2.893,1.238,0.34,.,1.995,G,
7,04/29/1985,05/06/1985,.,62,51,92,3.600,1.764,0.05,.,1.886,G,
7,05/06/1985,05/13/1985,.,79,44,92,3.924,0.095,0.00,.,3.829,G,
8,05/13/1985,05/21/1985,.,70,43,90,4.824,1.392,0.00,.,3.432,G,
9,05/21/1985,05/30/1985,.,61,50,97,4.379,  .,0.00,.,.,L,water too low to read
4,05/30/1985,06/03/1985,.,55,49,92,3.597,1.904,0.00,.,1.693,G,
7,06/03/1985,06/10/1985,.,92,46,103,4.560,1.322,0.02,.,3.258,G,
7,06/10/1985,06/17/1985,.,70,44,109,4.620,1.405,0.14,.,3.355,G,
7,06/17/1985,06/24/1985,.,88,57,101,4.220,1.540,0.05,.,2.730,G,
7,06/24/1985,07/01/1985,.,65,., .,4.368,1.376,0.00,.,2.992,T,
7,07/01/1985,07/08/1985,.,87,57,102,4.347,1.151,0.00,.,3.196,G,
9,07/08/1985,07/17/1985,.,58,45,103,4.181,  .,0.05,.,.,L,water too low to read
5,07/17/1985,07/22/1985,.,61,58,98,3.316,1.623,0.08,.,1.773,G,
7,07/22/1985,07/29/1985,.,68,58,100,3.672,2.000,0.43,.,2.102,G,
3,07/29/1985,08/01/1985,.,65,63,98,4.137,3.266,0.11,.,0.981,G,
4,08/01/1985,08/05/1985,.,65,58,97,4.328,3.263,0.13,.,1.195,G,
7,08/05/1985,08/12/1985,.,65,58,99,4.273,3.656,1.35,.,1.967,G,
7,08/12/1985,08/19/1985,.,72,60,97,4.820,4.287,2.21,.,2.743,G,
7,08/19/1985,08/26/1985,.,65,47,101,4.287,2.235,0.00,.,2.052,G,
8,08/26/1985,09/03/1985,.,78,55,98,4.317,1.764,0.05,.,2.603,G,
6,09/03/1985,09/09/1985,.,58,53,97,4.344,3.067,0.50,.,1.777,G,
15,09/09/1985,09/24/1985,.,75,37,98,4.136,3.415,0.57,.,1.291,G,
7,09/24/1985,10/01/1985,.,58,58, .,3.835,2.602,0.31,.,1.543,T,
6,10/01/1985,10/07/1985,.,58,43,84,4.058,2.826,0.00,.,1.232,G,
8,10/07/1985,10/15/1985,.,51,45,77,3.891,4.218,1.67,.,.,H,water level too high to read
7,10/15/1985,10/22/1985,.,55,47,73,4.218,  .,2.20,.,.,H,too high to read
7,10/22/1985,10/29/1985,.,62,45,79,4.162,3.096,0.00,.,1.066,G,
10,10/29/1985,11/08/1985,.,50,37,77,4.104,2.581,0.00,.,1.523,G,
4,11/08/1985,11/12/1985,.,55,44,70,4.125,3.482,0.00,.,0.643,G,
11,11/12/1985,11/23/1985,.,60,31,68,4.280,2.555,0.00,.,1.725,G,
3,11/23/1985,11/26/1985,.,50,., .,3.847,3.631,0.00,.,0.216,T,hi/lo not reset; no magnet
7,11/26/1985,12/03/1985,.,59,35,60,4.129,3.544,0.01,.,0.595,G,
10,12/03/1985,12/13/1985,.,.,., .,4.565,3.746,0.01,.,.,I,"level with ~2"" ice in p.m."
4,12/13/1985,12/17/1985,.,38,31,62,3.746,3.530,0.00,.,.,I,"broke up 1/2"" ice then read"
7,12/17/1985,12/24/1985,.,54,32,58,4.077,3.474,0.00,.,0.603,G,
9,12/24/1985,01/02/1986,.,54,35,61,4.578,3.752,0.00,.,0.826,G,
5,01/02/1986,01/07/1986,.,46,33,58,4.277,3.833,0.02,.,0.464,G,
7,01/07/1986,01/14/1986,.,47,31,58,4.353,3.863,0.00,.,0.490,G,
6,01/14/1986,01/20/1986,.,58,35,64,3.863,3.294,0.00,.,0.569,G,
9,01/20/1986,01/29/1986,.,39,32,78,3.781,2.577,0.00,.,1.204,G,
6,01/29/1986,02/04/1986,.,48,36,65,4.104,3.588,0.21,.,0.726,G,
7,02/04/1986,02/11/1986,.,58,32,58,4.108,3.925,0.31,.,0.493,G,
8,02/11/1986,02/19/1986,.,68,38,75,3.925,2.344,0.00,.,1.581,G,
6,02/19/1986,02/25/1986,.,76,35,76,3.793,2.627,0.00,.,1.166,G,
7,02/25/1986,03/04/1986,.,74,37,78,4.205,2.964,0.30,.,1.541,G,
8,03/04/1986,03/12/1986,.,52,36,76,4.504,2.638,0.03,.,1.896,G,
6,03/12/1986,03/18/1986,.,40,34,73,3.494,2.610,0.21,.,1.094,G,
1,03/18/1986,03/19/1986,.,41,38,63,2.610,2.482,0.00,.,0.128,G,
13,03/19/1986,04/01/1986,.,73,45,84,3.540,2.008,0.05,.,1.582,G,
7,04/01/1986,04/08/1986,.,54,37,84,3.524,1.525,0.00,.,1.999,G,
3,04/08/1986,04/11/1986,.,58,42,84,2.914,  ., .,.,.,M,data not collected
4,04/11/1986,04/15/1986,.,69,38,80,3.844,2.225,0.00,.,1.619,G,
2,04/15/1986,04/17/1986,.,60,44,84,3.770,3.100,0.00,.,0.670,G,
6,04/17/1986,04/23/1986,.,69,39,88,4.094,2.071,0.00,.,2.023,G,
6,04/23/1986,04/29/1986,.,58,40,82,4.120,2.530,0.00,.,1.590,G,
7,04/29/1986,05/06/1986,.,62,45,88,3.912,1.069,0.00,.,2.843,G,
3,05/06/1986,05/09/1986,.,65,39,87,1.069,0.120,0.00,.,0.949,G,
4,05/09/1986,05/13/1986,.,52,41,90,3.903,1.914,0.00,.,1.989,G,
3,05/13/1986,05/16/1986,.,75,45,89,3.389,2.285,0.00,.,1.104,G,
5,05/16/1986,05/21/1986,.,79,43,94,4.301,1.297,0.00,.,3.004,G,
6,05/21/1986,05/27/1986,.,74,49,95,3.452,1.409,0.00,.,2.043,G,
7,05/27/1986,06/03/1986,.,62,49,90,3.391,2.508,0.40,.,1.283,G,
9,06/03/1986,06/12/1986,.,87,37,99,4.188,.,0.00,.,.,L,Too low to read by approximately -0.651 (manually measured below lowest point of gauge with ruler)
7,06/12/1986,06/19/1986,.,67,57,97,4.469,1.451,0.09,.,3.108,G,
7,06/19/1986,06/26/1986,.,71,59,97,4.700,4.501,1.19,.,1.389,C,"1.07"" 6/25; 0.12"" 6/26/86"
5,06/26/1986,07/01/1986,.,69,69,99,4.501,3.999,0.03,.,0.532,G,
2,07/01/1986,07/03/1986,.,70,63,99,2.432,2.318,0.00,.,0.114,G,
8,07/03/1986,07/11/1986,.,79,60,96,4.401,2.244,0.76,.,2.917,G,
6,07/11/1986,07/17/1986,.,66,60,102,2.244,0.490,0.31,.,2.064,G,
7,07/17/1986,07/24/1986,.,88,59,95,4.476,2.812,1.34,.,3.004,G,
7,07/24/1986,07/31/1986,.,87,60,102,4.606,1.196,0.00,.,3.410,G,
7,07/31/1986,08/07/1986,.,74,61,99,4.578,1.650,0.19,.,3.118,G,
8,08/07/1986,08/15/1986,.,69,62,97,4.385,2.216,0.24,.,2.409,G,
6,08/15/1986,08/21/1986,.,89,58,99,4.636,2.072,0.00,.,2.564,G,
10,08/21/1986,08/31/1986,.,78,60,97,4.786,4.368,2.07,.,2.488,G,
7,08/31/1986,09/07/1986,.,84,53,94,4.368,1.991,0.00,.,2.377,G,
7,09/07/1986,09/14/1986,.,74,50,90,3.980,2.104,0.00,.,1.876,G,
5,09/14/1986,09/19/1986,.,87,54,90,4.429,3.018,0.48,.,1.891,G,
11,09/19/1986,09/30/1986,.,67,41,87,4.408,1.184,0.29,.,3.514,G,
5,09/30/1986,10/05/1986,.,75,48,80,4.049,3.366,0.40,.,1.083,G,
